iter,obj_s,pde_obj_mse,feas_true,obj_for_plot,source,alpha,tau,lam,mu,kkt_res,d_inf,d_l2
1430,nan,0.0002768,nan,0.0002768,PDE_obj_MSE,0.0991,0.4576036,0.0001,nan,0.00032,0.00562,0.0175
1440,nan,0.0002747,nan,0.0002747,PDE_obj_MSE,0.0816,0.4576036,0.0001,nan,0.00032,0.00497,0.0144
1450,nan,0.0002736,nan,0.0002736,PDE_obj_MSE,0.969,0.4576036,0.0001,nan,0.00032,0.000612,0.00322
1460,nan,0.0002716,nan,0.0002716,PDE_obj_MSE,0.081,0.4576036,0.0001,nan,0.00032,0.00531,0.0166
1470,nan,0.0002696,nan,0.0002696,PDE_obj_MSE,0.118,0.4576036,0.0001,nan,0.00032,0.00473,0.015
1480,nan,0.0002672,nan,0.0002672,PDE_obj_MSE,0.958,0.4576036,0.0001,nan,0.00031,0.000637,0.00303
1490,nan,0.0002666,nan,0.0002666,PDE_obj_MSE,0.445,0.4576036,0.0001,nan,0.00031,0.00236,0.00749
1500,nan,0.0002644,nan,0.0002644,PDE_obj_MSE,0.129,0.4576036,0.0001,nan,0.00031,0.0049,0.0157
1510,nan,0.0002608,nan,0.0002608,PDE_obj_MSE,0.206,0.4576036,0.0001,nan,0.00031,0.00365,0.0117
1520,nan,0.0002616,nan,0.0002616,PDE_obj_MSE,0.945,0.4576036,0.0001,nan,0.00031,0.00138,0.00447
1530,nan,0.00026,nan,0.00026,PDE_obj_MSE,0.585,0.4576036,0.0001,nan,0.00031,0.00167,0.00629
1540,nan,0.0002561,nan,0.0002561,PDE_obj_MSE,0.299,0.4576036,0.0001,nan,0.0003,0.00327,0.00981
1550,nan,0.0002571,nan,0.0002571,PDE_obj_MSE,0.935,0.4576036,0.0001,nan,0.0003,0.000905,0.00429
1560,nan,0.0002536,nan,0.0002536,PDE_obj_MSE,0.203,0.4576036,0.0001,nan,0.0003,0.00299,0.00933
1570,nan,0.0002522,nan,0.0002522,PDE_obj_MSE,0.184,0.4576036,0.0001,nan,0.0003,0.00304,0.0107
1580,nan,0.0002504,nan,0.0002504,PDE_obj_MSE,0.295,0.4576036,0.0001,nan,0.0003,0.00242,0.00684
1590,nan,0.000249,nan,0.000249,PDE_obj_MSE,0.182,0.4576036,0.0001,nan,0.0003,0.00344,0.0114
1600,nan,0.0002476,nan,0.0002476,PDE_obj_MSE,0.39,0.4576036,0.0001,nan,0.0003,0.00221,0.00711
1610,nan,0.0002462,nan,0.0002462,PDE_obj_MSE,0.102,0.4576036,0.0001,nan,0.0003,0.00515,0.0161
1620,nan,0.0002461,nan,0.0002461,PDE_obj_MSE,0.0843,0.4576036,0.0001,nan,0.0003,0.00497,0.0153
1630,nan,0.000244,nan,0.000244,PDE_obj_MSE,0.29,0.4576036,0.0001,nan,0.0003,0.00253,0.00831
1640,nan,0.0002465,nan,0.0002465,PDE_obj_MSE,0.998,0.4576036,0.0001,nan,0.00029,0.00139,0.00489
1650,nan,0.0002421,nan,0.0002421,PDE_obj_MSE,0.995,0.4576036,0.0001,nan,0.00029,0.00128,0.00399
1660,nan,0.0002394,nan,0.0002394,PDE_obj_MSE,0.162,0.4576036,0.0001,nan,0.00029,0.00408,0.0131
1670,nan,0.0002383,nan,0.0002383,PDE_obj_MSE,0.461,0.4576036,0.0001,nan,0.00029,0.00225,0.00637
1680,nan,0.0002367,nan,0.0002367,PDE_obj_MSE,0.195,0.4576036,0.0001,nan,0.00029,0.00318,0.0105
1690,nan,0.000235,nan,0.000235,PDE_obj_MSE,0.982,0.4576036,0.0001,nan,0.00029,0.000933,0.00338
1700,nan,0.0002336,nan,0.0002336,PDE_obj_MSE,0.979,0.4576036,0.0001,nan,0.00029,0.000987,0.00408
1710,nan,0.0002316,nan,0.0002316,PDE_obj_MSE,0.176,0.4576036,0.0001,nan,0.00029,0.00362,0.0123
1720,nan,0.0002319,nan,0.0002319,PDE_obj_MSE,0.159,0.4576036,0.0001,nan,0.00029,0.00254,0.00943
1730,nan,0.0002309,nan,0.0002309,PDE_obj_MSE,0.34,0.4576036,0.0001,nan,0.00028,0.00275,0.00825
1740,nan,0.0002283,nan,0.0002283,PDE_obj_MSE,0.967,0.4576036,0.0001,nan,0.00028,0.000572,0.00254
1750,nan,0.0002305,nan,0.0002305,PDE_obj_MSE,0.964,0.4576036,0.0001,nan,0.00028,0.00144,0.0045
1760,nan,0.0002264,nan,0.0002264,PDE_obj_MSE,0.37,0.4576036,0.0001,nan,0.00028,0.00258,0.00768
1770,nan,0.0002258,nan,0.0002258,PDE_obj_MSE,0.492,0.4576036,0.0001,nan,0.00028,0.0017,0.00591
1780,nan,0.0002239,nan,0.0002239,PDE_obj_MSE,0.129,0.4576036,0.0001,nan,0.00028,0.00403,0.0135
1790,nan,0.0002243,nan,0.0002243,PDE_obj_MSE,0.952,0.4576036,0.0001,nan,0.00028,0.000884,0.00312
1800,nan,0.0002224,nan,0.0002224,PDE_obj_MSE,0.0409,0.4576036,0.0001,nan,0.00028,0.00498,0.0153
1810,nan,0.0002201,nan,0.0002201,PDE_obj_MSE,0.441,0.4576036,0.0001,nan,0.00028,0.00155,0.00541
1820,nan,0.0002198,nan,0.0002198,PDE_obj_MSE,0.78,0.4576036,0.0001,nan,0.00028,0.00105,0.00438
1830,nan,0.0002174,nan,0.0002174,PDE_obj_MSE,0.33,0.4576036,0.0001,nan,0.00028,0.00246,0.00866
1840,nan,0.0002172,nan,0.0002172,PDE_obj_MSE,0.169,0.4576036,0.0001,nan,0.00028,0.00313,0.01
1850,nan,0.0002155,nan,0.0002155,PDE_obj_MSE,0.204,0.4576036,0.0001,nan,0.00028,0.00304,0.00958
1860,nan,0.0002138,nan,0.0002138,PDE_obj_MSE,0.152,0.4576036,0.0001,nan,0.00028,0.00361,0.0117
1870,nan,0.0002149,nan,0.0002149,PDE_obj_MSE,0.845,0.4576036,0.0001,nan,0.00027,0.00155,0.00465
1880,nan,0.0002124,nan,0.0002124,PDE_obj_MSE,0.222,0.4576036,0.0001,nan,0.00027,0.00275,0.0091
1890,nan,0.0002102,nan,0.0002102,PDE_obj_MSE,0.221,0.4576036,0.0001,nan,0.00027,0.00229,0.0075
1900,nan,0.0002103,nan,0.0002103,PDE_obj_MSE,0.43,0.4576036,0.0001,nan,0.00027,0.00218,0.00695
1910,nan,0.0002068,nan,0.0002068,PDE_obj_MSE,1.01,0.4576036,0.0001,nan,0.00027,0.000608,0.00258
1920,nan,0.0002071,nan,0.0002071,PDE_obj_MSE,0.353,0.4576036,0.0001,nan,0.00027,0.0022,0.00722
1930,nan,0.0002069,nan,0.0002069,PDE_obj_MSE,0.0844,0.4576036,0.0001,nan,0.00027,0.00431,0.0137
1940,nan,0.0002057,nan,0.0002057,PDE_obj_MSE,1.0,0.4576036,0.0001,nan,0.00027,0.00104,0.00376
1950,nan,0.0002034,nan,0.0002034,PDE_obj_MSE,0.319,0.4576036,0.0001,nan,0.00027,0.00245,0.00797
1960,nan,0.0002024,nan,0.0002024,PDE_obj_MSE,0.997,0.4576036,0.0001,nan,0.00026,0.000809,0.00303
1970,nan,0.000202,nan,0.000202,PDE_obj_MSE,0.51,0.4576036,0.0001,nan,0.00026,0.00151,0.00511
1980,nan,0.0002,nan,0.0002,PDE_obj_MSE,0.992,0.4576036,0.0001,nan,0.00026,0.00031,0.00214
1990,nan,0.0002001,nan,0.0002001,PDE_obj_MSE,0.558,0.4576036,0.0001,nan,0.00026,0.00136,0.00525
2000,nan,0.0001982,nan,0.0001982,PDE_obj_MSE,0.0827,0.4576036,0.0001,nan,0.00026,0.00501,0.0159
2010,nan,0.0001961,nan,0.0001961,PDE_obj_MSE,0.983,0.4576036,0.0001,nan,0.00026,0.000483,0.00271
2020,nan,0.0001959,nan,0.0001959,PDE_obj_MSE,0.344,0.4576036,0.0001,nan,0.00026,0.00187,0.00656
2030,nan,0.000195,nan,0.000195,PDE_obj_MSE,0.978,0.4576036,0.0001,nan,0.00026,0.000391,0.00197
2040,nan,0.0001943,nan,0.0001943,PDE_obj_MSE,0.501,0.4576036,0.0001,nan,0.00026,0.0018,0.00551
2050,nan,0.0001929,nan,0.0001929,PDE_obj_MSE,0.175,0.4576036,0.0001,nan,0.00026,0.00283,0.00873
2060,nan,0.0001922,nan,0.0001922,PDE_obj_MSE,0.232,0.4576036,0.0001,nan,0.00026,0.0023,0.00777
2070,nan,0.0001914,nan,0.0001914,PDE_obj_MSE,0.968,0.4576036,0.0001,nan,0.00026,0.000692,0.00286
2080,nan,0.0001904,nan,0.0001904,PDE_obj_MSE,0.338,0.4576036,0.0001,nan,0.00026,0.0024,0.00837
2090,nan,0.0001895,nan,0.0001895,PDE_obj_MSE,0.157,0.4576036,0.0001,nan,0.00026,0.00295,0.01
2100,nan,0.0001873,nan,0.0001873,PDE_obj_MSE,0.96,0.4576036,0.0001,nan,0.00025,0.000253,0.00195
2110,nan,0.0001874,nan,0.0001874,PDE_obj_MSE,0.369,0.4576036,0.0001,nan,0.00025,0.00217,0.00722
2120,nan,0.0001853,nan,0.0001853,PDE_obj_MSE,0.156,0.4576036,0.0001,nan,0.00025,0.00361,0.0124
2130,nan,0.0001854,nan,0.0001854,PDE_obj_MSE,0.953,0.4576036,0.0001,nan,0.00025,0.000678,0.0031
