iter,obj_mse_weighted,obj_mse,feas_mse,pde_con_mse,bcv_mse,bcd_mse,ic_mse,station,tau,alpha,beta,kkt_res,d_inf,d_l2
1130,0.0003443,3.443e-05,1.061e-09,6.115240000000001e-09,1.6402500000000002e-11,3.6000000000000005e-11,8.987040000000002e-11,0.006056,0.4576036,0.123,0.321,0.00037,0.00606,0.017
1140,0.0003433,3.433e-05,1.282e-09,8.37225e-09,1.6240900000000003e-11,3.58801e-11,8.87364e-11,0.006467,0.4576036,0.111,0.319,0.00037,0.00647,0.0177
1150,0.00034,3.4e-05,3.811e-09,9.486759999999999e-09,1.5288099999999998e-11,3.4339599999999996e-11,8.704890000000001e-11,0.005691,0.4576036,0.0917,0.318,0.00036,0.00569,0.0177
1160,0.0003362,3.362e-05,9.302e-10,8.89249e-09,1.67281e-11,3.52836e-11,8.593289999999999e-11,0.004242,0.4576036,0.26,0.317,0.00036,0.00424,0.0111
1170,0.0003347,3.347e-05,1.278e-09,1.0404e-08,1.6892099999999997e-11,3.58801e-11,8.464e-11,0.007316,0.4576036,0.0909,0.315,0.00036,0.00732,0.0216
1180,0.0003305,3.3050000000000004e-05,1.291e-09,1.3225000000000001e-08,1.6646399999999998e-11,3.3756100000000006e-11,8.37225e-11,0.00563,0.4576036,0.146,0.314,0.00036,0.00563,0.0168
1190,0.000331,3.3100000000000005e-05,2.134e-09,5.520490000000001e-09,1.54449e-11,3.3872400000000004e-11,8.20836e-11,0.001008,0.4576036,0.976,0.312,0.00035,0.00101,0.00468
1200,0.0003263,3.2630000000000004e-05,9.005e-10,4.26409e-09,1.51321e-11,3.31776e-11,8.046090000000001e-11,0.003428,0.4576036,0.233,0.311,0.00035,0.00343,0.0111
1210,0.0003243,3.243e-05,7.289e-10,2.61121e-09,1.5523600000000002e-11,3.30625e-11,7.974489999999999e-11,0.002723,0.4576036,0.339,0.31,0.00035,0.00272,0.00851
1220,0.0003216,3.2160000000000004e-05,1.206e-09,2.601e-09,1.5288099999999998e-11,3.2947600000000004e-11,7.83225e-11,0.002655,0.4576036,0.254,0.308,0.00035,0.00265,0.00914
1230,0.0003203,3.2029999999999997e-05,8.387e-10,5.041e-09,1.4364100000000001e-11,3.2832900000000005e-11,7.708840000000001e-11,0.002666,0.4576036,0.448,0.307,0.00035,0.00267,0.00793
1240,0.0003171,3.171e-05,1.617e-09,7.19104e-09,1.45161e-11,3.20356e-11,7.673760000000001e-11,0.005339,0.4576036,0.129,0.306,0.00035,0.00534,0.0163
1250,0.000314,3.14e-05,5.637e-10,2.22784e-09,1.4899600000000003e-11,3.18096e-11,7.48225e-11,0.002904,0.4576036,0.251,0.305,0.00034,0.0029,0.00926
1260,0.0003112,3.112e-05,2.428e-09,4.290250000000001e-09,1.41376e-11,3.1696900000000005e-11,7.396000000000001e-11,0.003559,0.4576036,0.206,0.303,0.00034,0.00356,0.0109
1270,0.0003124,3.124e-05,1.737e-09,3.69664e-09,1.4592399999999997e-11,3.15844e-11,7.293159999999999e-11,0.001704,0.4576036,0.709,0.302,0.00034,0.0017,0.00609
1280,0.0003079,3.079e-05,9.257e-10,3.3408400000000002e-09,1.4364100000000001e-11,3.18096e-11,7.19104e-11,0.004716,0.4576036,0.105,0.301,0.00034,0.00472,0.0136
1290,0.0003102,3.102e-05,3.021e-09,1.6129e-08,1.39876e-11,3.1359999999999996e-11,7.089640000000001e-11,0.002126,0.4576036,0.936,0.3,0.00034,0.00213,0.00623
1300,0.0003026,3.0259999999999998e-05,8.364e-10,6.115240000000001e-09,1.4288399999999999e-11,3.10249e-11,6.972249999999999e-11,0.0031,0.4576036,0.297,0.299,0.00034,0.0031,0.0104
1310,0.000301,3.01e-05,5.247e-10,5.882889999999999e-09,1.3912899999999999e-11,3.025e-11,6.889000000000001e-11,0.002354,0.4576036,0.394,0.297,0.00033,0.00235,0.00861
1320,0.0002986,2.986e-05,6.949e-10,3.4105600000000003e-09,1.41376e-11,3.0913600000000004e-11,6.756839999999999e-11,0.005458,0.4576036,0.0939,0.296,0.00033,0.00546,0.0157
1330,0.0002985,2.985e-05,6.48e-10,4.32964e-09,1.444e-11,3.04704e-11,6.740409999999998e-11,0.001951,0.4576036,0.838,0.295,0.00033,0.00195,0.00559
1340,0.0002927,2.9270000000000003e-05,1.545e-09,4.92804e-09,1.4212899999999999e-11,3.03601e-11,6.60969e-11,0.003951,0.4576036,0.2,0.294,0.00033,0.00395,0.0115
1350,0.0002919,2.919e-05,5.925e-10,1.31769e-09,1.3690000000000002e-11,2.9376399999999996e-11,6.512490000000001e-11,0.003335,0.4576036,0.124,0.293,0.00033,0.00333,0.0111
1360,0.0002896,2.896e-05,1.302e-09,2.08849e-09,1.4212899999999999e-11,2.9484899999999996e-11,6.464159999999999e-11,0.0004359,0.4576036,1.0,0.292,0.00033,0.000436,0.00296
1370,0.0002903,2.903e-05,2.168e-09,4.4488899999999995e-09,1.40625e-11,2.90521e-11,6.4e-11,0.001366,0.4576036,0.998,0.29,0.00033,0.00137,0.0046
1380,0.0002864,2.8640000000000004e-05,2.768e-09,5.372890000000001e-09,1.35424e-11,2.90521e-11,6.304360000000001e-11,0.001204,0.4576036,0.747,0.289,0.00032,0.0012,0.00553
1390,0.0002857,2.857e-05,1.4e-09,6.1622499999999995e-09,1.3764100000000001e-11,2.8944400000000003e-11,6.256810000000001e-11,0.001748,0.4576036,0.9,0.288,0.00032,0.00175,0.00538
1400,0.0002814,2.814e-05,2.122e-09,6.35209e-09,1.49769e-11,2.92681e-11,6.17796e-11,0.001017,0.4576036,0.987,0.287,0.00032,0.00102,0.00492
1410,0.0002802,2.802e-05,5.406e-10,5.700250000000001e-09,1.3616099999999998e-11,2.809e-11,6.09961e-11,0.00468,0.4576036,0.121,0.286,0.00032,0.00468,0.0147
1420,0.0002799,2.7989999999999998e-05,6.985e-10,2.3716899999999997e-09,1.3616099999999998e-11,2.8408899999999997e-11,6.00625e-11,0.001516,0.4576036,0.979,0.285,0.00032,0.00152,0.0043
1430,0.0002768,2.768e-05,6.258e-10,5.89824e-09,1.35424e-11,2.7667599999999997e-11,5.99076e-11,0.005617,0.4576036,0.0991,0.284,0.00032,0.00562,0.0175
