iter,obj_printed,obj_mse,feas_mse,pde_con_mse,bcv_mse,bcd_mse,ic_mse,pde_rms,bcv_rms,bcd_rms,ic_rms,station,alpha,step_inf,lambda,kkt,relL2,tau
1160,0.0004246,4.245e-05,2.31e-07,1.3104400000000002e-07,1.05625e-07,7.586410000000001e-07,4.802490000000001e-07,0.000362,0.000325,0.000871,0.000693,0.074,0.00476,0.000352,0.0001,3.29e-10,0.027,0.0364
1170,0.0004232,4.231e-05,2.218e-07,1.2673599999999998e-07,1.0368400000000002e-07,6.97225e-07,4.70596e-07,0.000356,0.000322,0.000835,0.000686,0.0731,0.00431,0.000315,0.0001,3.22e-10,0.0268,0.0364
1180,0.0004219,4.218e-05,2.138e-07,1.2320100000000002e-07,1.0176100000000001e-07,6.464160000000001e-07,4.6104100000000003e-07,0.000351,0.000319,0.000804,0.000679,0.0722,0.00429,0.00031,0.0001,3.47e-10,0.0265,0.0364
1190,0.0004207,4.206e-05,2.064e-07,1.19716e-07,9.985599999999999e-08,5.990759999999999e-07,4.52929e-07,0.000346,0.000316,0.000774,0.000673,0.0714,0.00427,0.000305,0.0001,3.13e-10,0.0263,0.0364
1200,0.0004196,4.195e-05,1.994e-07,1.16281e-07,9.796900000000001e-08,5.55025e-07,4.4488899999999993e-07,0.000341,0.000313,0.000745,0.000667,0.0706,0.00425,0.0003,0.0001,3.34e-10,0.026,0.0364
1210,0.0004184,4.183e-05,1.929e-07,1.13569e-07,9.61e-08,5.15524e-07,4.3692100000000005e-07,0.000337,0.00031,0.000718,0.000661,0.0698,0.00424,0.000295,0.0001,3.16e-10,0.0258,0.0364
1220,0.0004174,4.173e-05,1.871e-07,1.1088900000000001e-07,9.424899999999999e-08,4.802490000000001e-07,4.30336e-07,0.000333,0.000307,0.000693,0.000656,0.069,0.00383,0.000264,0.0001,2.88e-10,0.0256,0.0364
1230,0.0004164,4.163e-05,1.819e-07,1.0824099999999998e-07,9.302499999999999e-08,4.4890000000000006e-07,4.23801e-07,0.000329,0.000305,0.00067,0.000651,0.0682,0.00382,0.000261,0.0001,3.96e-10,0.0254,0.0364
1240,0.0004155,4.154e-05,1.769e-07,1.06276e-07,9.120400000000001e-08,4.1990400000000005e-07,4.17316e-07,0.000326,0.000302,0.000648,0.000646,0.0675,0.0038,0.000257,0.0001,2.96e-10,0.0252,0.0364
1250,0.0004146,4.145e-05,1.723e-07,1.0368400000000002e-07,8.999999999999999e-08,3.9312899999999995e-07,4.1088099999999996e-07,0.000322,0.0003,0.000627,0.000641,0.0668,0.00379,0.000253,0.0001,3.49e-10,0.025,0.0364
1260,0.0004137,4.136e-05,1.679e-07,1.0176100000000001e-07,8.8209e-08,3.68449e-07,4.0449599999999994e-07,0.000319,0.000297,0.000607,0.000636,0.0661,0.00377,0.000249,0.0001,5.24e-10,0.0248,0.0364
1270,0.0004129,4.128e-05,1.637e-07,9.985599999999999e-08,8.702500000000001e-08,3.4456899999999994e-07,3.9942399999999996e-07,0.000316,0.000295,0.000587,0.000632,0.0653,0.00376,0.000245,0.0001,3.53e-10,0.0246,0.0364
1280,0.0004121,4.12e-05,1.601e-07,9.796900000000001e-08,8.584900000000002e-08,3.2489999999999995e-07,3.9438399999999997e-07,0.000313,0.000293,0.00057,0.000628,0.0647,0.0034,0.00022,0.0001,3.59e-10,0.0244,0.0364
1290,0.0004113,4.113e-05,1.567e-07,9.672100000000001e-08,8.468100000000002e-08,3.0691600000000005e-07,3.89376e-07,0.000311,0.000291,0.000554,0.000624,0.0641,0.00339,0.000217,0.0001,3.26e-10,0.0243,0.0364
