iter,obj_s,pde_obj_mse,feas_true,obj_for_plot,source
3840,nan,0.2999,nan,0.2999,PDE_obj_MSE
3850,nan,0.2999,nan,0.2999,PDE_obj_MSE
3860,nan,0.2999,nan,0.2999,PDE_obj_MSE
3870,nan,0.2999,nan,0.2999,PDE_obj_MSE
3880,nan,0.2999,nan,0.2999,PDE_obj_MSE
3890,nan,0.2999,nan,0.2999,PDE_obj_MSE
3900,nan,0.2999,nan,0.2999,PDE_obj_MSE
3910,nan,0.2999,nan,0.2999,PDE_obj_MSE
3920,nan,0.2999,nan,0.2999,PDE_obj_MSE
3930,nan,0.2999,nan,0.2999,PDE_obj_MSE
3940,nan,0.2999,nan,0.2999,PDE_obj_MSE
3950,nan,0.2999,nan,0.2999,PDE_obj_MSE
3960,nan,0.2999,nan,0.2999,PDE_obj_MSE
3970,nan,0.2999,nan,0.2999,PDE_obj_MSE
3980,nan,0.2999,nan,0.2999,PDE_obj_MSE
3990,nan,0.2999,nan,0.2999,PDE_obj_MSE
4000,nan,0.2999,nan,0.2999,PDE_obj_MSE
4010,nan,0.2999,nan,0.2999,PDE_obj_MSE
4020,nan,0.2999,nan,0.2999,PDE_obj_MSE
4030,nan,0.2999,nan,0.2999,PDE_obj_MSE
4040,nan,0.2999,nan,0.2999,PDE_obj_MSE
4050,nan,0.2999,nan,0.2999,PDE_obj_MSE
4060,nan,0.2999,nan,0.2999,PDE_obj_MSE
4070,nan,0.2999,nan,0.2999,PDE_obj_MSE
4080,nan,0.2999,nan,0.2999,PDE_obj_MSE
4090,nan,0.2999,nan,0.2999,PDE_obj_MSE
4100,nan,0.2999,nan,0.2999,PDE_obj_MSE
4110,nan,0.2999,nan,0.2999,PDE_obj_MSE
4120,nan,0.2999,nan,0.2999,PDE_obj_MSE
4130,nan,0.2999,nan,0.2999,PDE_obj_MSE
4140,nan,0.2999,nan,0.2999,PDE_obj_MSE
4150,nan,0.2999,nan,0.2999,PDE_obj_MSE
4160,nan,0.2999,nan,0.2999,PDE_obj_MSE
4170,nan,0.2999,nan,0.2999,PDE_obj_MSE
4180,nan,0.2999,nan,0.2999,PDE_obj_MSE
4190,nan,0.2999,nan,0.2999,PDE_obj_MSE
4200,nan,0.2999,nan,0.2999,PDE_obj_MSE
4210,nan,0.2999,nan,0.2999,PDE_obj_MSE
4220,nan,0.2999,nan,0.2999,PDE_obj_MSE
4230,nan,0.2999,nan,0.2999,PDE_obj_MSE
4240,nan,0.2999,nan,0.2999,PDE_obj_MSE
4250,nan,0.2999,nan,0.2999,PDE_obj_MSE
4260,nan,0.2999,nan,0.2999,PDE_obj_MSE
4270,nan,0.2999,nan,0.2999,PDE_obj_MSE
4280,nan,0.2999,nan,0.2999,PDE_obj_MSE
4290,nan,0.2999,nan,0.2999,PDE_obj_MSE
4300,nan,0.2999,nan,0.2999,PDE_obj_MSE
4310,nan,0.2999,nan,0.2999,PDE_obj_MSE
4320,nan,0.2999,nan,0.2999,PDE_obj_MSE
4330,nan,0.2999,nan,0.2999,PDE_obj_MSE
4340,nan,0.2999,nan,0.2999,PDE_obj_MSE
4350,nan,0.2999,nan,0.2999,PDE_obj_MSE
4360,nan,0.2999,nan,0.2999,PDE_obj_MSE
4370,nan,0.2999,nan,0.2999,PDE_obj_MSE
4380,nan,0.2999,nan,0.2999,PDE_obj_MSE
4390,nan,0.2999,nan,0.2999,PDE_obj_MSE
4400,nan,0.2999,nan,0.2999,PDE_obj_MSE
4410,nan,0.2999,nan,0.2999,PDE_obj_MSE
4420,nan,0.2999,nan,0.2999,PDE_obj_MSE
4430,nan,0.2999,nan,0.2999,PDE_obj_MSE
4440,nan,0.2999,nan,0.2999,PDE_obj_MSE
4450,nan,0.2999,nan,0.2999,PDE_obj_MSE
4460,nan,0.2999,nan,0.2999,PDE_obj_MSE
4470,nan,0.2999,nan,0.2999,PDE_obj_MSE
4480,nan,0.2999,nan,0.2999,PDE_obj_MSE
4490,nan,0.2999,nan,0.2999,PDE_obj_MSE
4500,nan,0.2999,nan,0.2999,PDE_obj_MSE
4510,nan,0.2999,nan,0.2999,PDE_obj_MSE
4520,nan,0.2999,nan,0.2999,PDE_obj_MSE
4530,nan,0.2999,nan,0.2999,PDE_obj_MSE
4540,nan,0.2999,nan,0.2999,PDE_obj_MSE
4550,nan,0.2999,nan,0.2999,PDE_obj_MSE
4560,nan,0.2999,nan,0.2999,PDE_obj_MSE
4570,nan,0.2999,nan,0.2999,PDE_obj_MSE
4580,nan,0.2999,nan,0.2999,PDE_obj_MSE
4590,nan,0.2999,nan,0.2999,PDE_obj_MSE
4600,nan,0.2999,nan,0.2999,PDE_obj_MSE
4610,nan,0.2999,nan,0.2999,PDE_obj_MSE
4620,nan,0.2999,nan,0.2999,PDE_obj_MSE
4630,nan,0.2999,nan,0.2999,PDE_obj_MSE
