iter,obj_mse,feas_mse,pde_con_mse,bcv_mse,bcd_mse,ic_mse
1580,0.0002504,1.038e-09,1.75561e-09,1.31044e-11,2.5200400000000002e-11,5.12656e-11
1590,0.000249,8.14e-10,6.17796e-09,1.31044e-11,2.44036e-11,5.09796e-11
1600,0.0002476,4.471e-10,3.481e-09,1.34689e-11,2.4900099999999996e-11,5.0552099999999993e-11
1610,0.0002462,1.411e-09,7.99236e-09,1.3912899999999999e-11,2.5100100000000002e-11,5.02681e-11
1620,0.0002461,1.183e-09,3.1584399999999997e-09,1.34689e-11,2.4800399999999996e-11,4.98436e-11
1630,0.000244,8.987e-10,4.39569e-09,1.32496e-11,2.38144e-11,4.956160000000001e-11
1640,0.0002465,3.567e-09,9.06304e-09,1.3395600000000002e-11,2.38144e-11,4.9280399999999995e-11
1650,0.0002421,1.324e-09,3.6360900000000004e-09,1.3690000000000002e-11,2.39121e-11,4.9e-11
1660,0.0002394,8.73e-10,7.48225e-09,1.31769e-11,2.4009999999999996e-11,4.84416e-11
1670,0.0002383,4.836e-10,2.52004e-09,1.31769e-11,2.36196e-11,4.80249e-11
1680,0.0002367,1.541e-09,3.93129e-09,1.31044e-11,2.3425600000000003e-11,4.78864e-11
1690,0.000235,3.064e-09,3.66025e-09,1.2888099999999999e-11,2.3136099999999998e-11,4.71969e-11
1700,0.0002336,3.042e-09,5.372890000000001e-09,1.2959999999999998e-11,2.29441e-11,4.6922499999999994e-11
1710,0.0002316,2.416e-09,8.930250000000001e-09,1.3322500000000001e-11,2.304e-11,4.6922499999999994e-11
1720,0.0002319,1.077e-09,2.14369e-09,1.28164e-11,2.2467600000000005e-11,4.63761e-11
1730,0.0002309,1.345e-09,3.0691599999999998e-09,1.35424e-11,2.27529e-11,4.61041e-11
1740,0.0002283,1.294e-09,2.22784e-09,1.27449e-11,2.2372899999999996e-11,4.5427599999999996e-11
1750,0.0002305,1.007e-09,5.140889999999999e-09,1.2959999999999998e-11,2.2278399999999997e-11,4.5427599999999996e-11
1760,0.0002264,6.108e-10,3.6000000000000004e-09,1.31769e-11,2.2278399999999997e-11,4.5024100000000005e-11
1770,0.0002258,1.117e-09,3.05809e-09,1.2673599999999999e-11,2.1622500000000004e-11,4.4756100000000006e-11
1780,0.0002239,2.237e-09,6.384010000000001e-09,1.2673599999999999e-11,2.1436899999999996e-11,4.44889e-11
1790,0.0002243,3.031e-09,3.918760000000001e-09,1.3032100000000001e-11,2.1529599999999997e-11,4.42225e-11
1800,0.0002224,7.684e-10,7.5625e-10,1.34689e-11,2.1808900000000002e-11,4.3824400000000004e-11
1810,0.0002201,2.489e-10,1.8490000000000001e-09,1.31769e-11,2.10681e-11,4.3692100000000004e-11
1820,0.0002198,8.918e-10,2.1252100000000004e-09,1.2959999999999998e-11,2.08849e-11,4.3164899999999994e-11
1830,0.0002174,5.128e-10,5.431690000000001e-09,1.2888099999999999e-11,2.0702499999999996e-11,4.3033599999999996e-11
1840,0.0002172,7.592e-10,4.34281e-09,1.3032100000000001e-11,2.08849e-11,4.2771600000000004e-11
1850,0.0002155,6.342e-10,2.98116e-09,1.26025e-11,2.025e-11,4.2640900000000003e-11
1860,0.0002138,9.34e-10,3.62404e-09,1.2390400000000002e-11,2.01601e-11,4.21201e-11
1870,0.0002149,2.147e-09,3.733209999999999e-09,1.27449e-11,2.025e-11,4.19904e-11
1880,0.0002124,9.477e-10,3.66025e-09,1.25316e-11,1.9802499999999998e-11,4.16025e-11
1890,0.0002102,3.179e-10,1.4899600000000003e-09,1.2673599999999999e-11,1.97136e-11,4.1473600000000004e-11
1900,0.0002103,4.056e-10,3.95641e-09,1.25316e-11,1.95364e-11,4.1216400000000004e-11
1910,0.0002068,2.739e-09,3.5046400000000004e-09,1.2673599999999999e-11,1.94481e-11,4.0959999999999993e-11
1920,0.0002071,3.458e-10,3.844e-09,1.27449e-11,1.9184400000000002e-11,4.05769e-11
1930,0.0002069,7.427e-10,2.35225e-09,1.2888099999999999e-11,1.94481e-11,4.05769e-11
1940,0.0002057,1.135e-09,2.6728900000000003e-09,1.27449e-11,1.9096899999999998e-11,4.01956e-11
1950,0.0002034,1.067e-09,4.25104e-09,1.31769e-11,1.9184400000000002e-11,3.9942399999999996e-11
